日期,开盘,收盘,最高,最低,成交量
2025-03-03,6.4,6.44,6.59,6.33,33949705
2025-03-04,6.4,6.54,6.7,6.4,40275660
2025-03-05,6.47,6.52,6.53,6.33,33134972
2025-03-06,6.54,6.7,6.7,6.54,47570863
2025-03-07,6.66,6.44,6.68,6.4,39238922
2025-03-10,6.39,6.44,6.45,6.33,24121178
2025-03-11,6.48,6.75,7.0,6.35,58068184
2025-03-12,6.71,6.66,6.86,6.65,37995039
2025-03-13,6.66,6.51,6.69,6.43,27996164
2025-03-14,6.49,6.59,6.6,6.46,23756405
2025-03-17,6.55,6.61,6.7,6.55,24580004
2025-03-18,6.59,6.57,6.67,6.54,20644294
2025-03-19,6.53,6.51,6.7,6.45,26987700
2025-03-20,6.5,6.48,6.56,6.46,16166233
2025-03-21,6.45,6.76,6.94,6.39,50553233
2025-03-24,6.57,6.48,6.62,6.44,31153658
2025-03-25,6.45,6.52,6.55,6.42,19187387
2025-03-26,6.56,6.76,6.84,6.48,48127041
2025-03-27,6.72,7.44,7.44,6.66,106387662
2025-03-28,7.58,7.76,8.16,7.38,152611031
2025-03-31,7.8,7.29,8.22,7.26,126399428
2025-04-01,7.39,7.23,7.5,7.2,75395797
2025-04-02,7.23,7.06,7.33,6.99,55702569
2025-04-03,7.05,6.97,7.15,6.88,39693104
2025-04-07,6.48,6.27,6.5,6.27,32274500
2025-04-08,6.0,5.71,6.14,5.64,75999008
2025-04-09,5.6,5.92,5.99,5.15,68596713
2025-04-10,6.0,6.1,6.25,5.92,52053210
2025-04-11,6.01,6.29,6.33,5.96,45513601
2025-04-14,6.23,6.34,6.4,6.23,35227901
2025-04-15,6.33,6.28,6.56,6.2,33827601
2025-04-16,6.23,6.17,6.35,6.02,24918155
2025-04-17,6.13,6.24,6.42,6.13,27525600
2025-04-18,6.24,6.43,6.46,6.21,34530991
2025-04-21,6.32,6.39,6.45,6.2,31510501
2025-04-22,6.35,6.42,6.52,6.35,28326891
2025-04-23,6.39,6.43,6.47,6.34,24826005
2025-04-24,6.46,6.34,6.48,6.28,22816100
2025-04-25,6.31,6.25,6.55,6.25,38748597
2025-04-28,6.31,6.18,6.36,6.15,25433130
2025-04-29,6.18,6.26,6.4,6.14,20815037
2025-04-30,6.3,6.35,6.49,6.3,23158153
2025-05-06,6.32,6.46,6.46,6.32,23943189
2025-05-07,6.55,6.56,6.66,6.49,31805141
2025-05-08,6.52,6.66,6.83,6.52,36783260
2025-05-09,6.66,6.44,6.7,6.4,25121700
2025-05-12,6.5,6.47,6.58,6.43,23233600
2025-05-13,6.52,6.49,6.59,6.47,19920107
2025-05-14,6.58,6.6,6.66,6.43,36445298
2025-05-15,6.59,6.52,6.6,6.43,23053800
2025-05-16,6.5,6.52,6.68,6.48,23045291
2025-05-19,6.73,6.96,7.17,6.73,101633171
2025-05-20,6.82,6.92,7.02,6.8,66069863
