日期,开盘,收盘,最高,最低,成交量
2025-03-03,6.28,6.33,6.48,6.28,5786100
2025-03-04,6.35,6.46,6.47,6.32,4036150
2025-03-05,6.46,6.41,6.46,6.3,4201850
2025-03-06,6.41,6.43,6.45,6.36,3430158
2025-03-07,6.43,6.37,6.46,6.34,3399660
2025-03-10,6.37,6.39,6.44,6.32,3005760
2025-03-11,6.34,6.35,6.37,6.27,3200900
2025-03-12,6.35,6.26,6.38,6.24,4742594
2025-03-13,6.29,6.2,6.31,6.15,6044200
2025-03-14,6.21,6.35,6.37,6.17,6605801
2025-03-17,6.37,6.37,6.53,6.32,5334777
2025-03-18,6.44,6.44,6.45,6.33,4090712
2025-03-19,6.41,6.32,6.45,6.31,3409862
2025-03-20,6.34,6.3,6.39,6.28,3316201
2025-03-21,6.28,6.26,6.33,6.14,5222688
2025-03-24,6.26,6.0,6.3,5.95,7175001
2025-03-25,6.0,6.06,6.08,5.83,5464500
2025-03-26,6.09,6.36,6.48,5.99,11613700
2025-03-27,6.3,6.35,6.39,6.21,4742700
2025-03-28,6.32,6.2,6.32,6.16,3394000
2025-03-31,6.2,6.09,6.2,5.97,3264500
2025-04-01,6.08,6.13,6.24,6.08,3537100
2025-04-02,6.13,6.14,6.21,6.08,2477300
2025-04-03,6.12,6.2,6.22,6.1,3108999
2025-04-07,6.08,5.58,6.08,5.58,6963800
2025-04-08,5.44,5.37,5.58,5.18,6571465
2025-04-09,5.35,5.5,5.54,4.87,6150000
2025-04-10,5.6,5.82,5.91,5.6,6838364
2025-04-11,5.8,5.92,6.05,5.78,5044700
2025-04-14,5.98,6.23,6.51,5.81,20584246
2025-04-15,6.21,6.03,6.24,5.96,13805167
2025-04-16,6.02,5.98,6.08,5.81,7169897
2025-04-17,5.95,6.08,6.14,5.91,7791900
2025-04-18,6.1,6.16,6.22,5.96,7562500
2025-04-21,6.16,6.46,6.46,6.1,12310400
2025-04-22,6.46,6.69,6.73,6.44,14224367
2025-04-23,6.77,6.62,6.79,6.59,10510337
2025-04-24,6.63,6.51,6.68,6.32,8956386
2025-04-25,6.7,7.16,7.16,6.45,41731073
2025-04-28,7.06,6.69,7.06,6.56,29461311
2025-04-29,6.75,6.82,6.92,6.66,13230826
2025-04-30,6.8,6.72,6.89,6.68,9936043
