日期,开盘,收盘,最高,最低,成交量
2026-01-05,1.028,1.034,1.037,1.028,292423989
2026-01-06,1.033,1.053,1.053,1.031,704991752
2026-01-07,1.059,1.093,1.094,1.053,1268826008
2026-01-08,1.1,1.092,1.104,1.082,947635444
2026-01-09,1.08,1.096,1.098,1.08,644728382
2026-01-12,1.096,1.094,1.104,1.086,511799089
2026-01-13,1.092,1.081,1.094,1.079,517285140
2026-01-14,1.08,1.072,1.085,1.065,602064663
2026-01-15,1.072,1.067,1.077,1.064,366512327
2026-01-16,1.067,1.054,1.074,1.05,416341210
2026-01-19,1.054,1.069,1.069,1.054,389298364
2026-01-20,1.068,1.083,1.084,1.06,390580463
2026-01-21,1.08,1.07,1.08,1.061,419671200
2026-01-22,1.067,1.089,1.09,1.063,519928027
2026-01-23,1.087,1.079,1.087,1.076,490381543
2026-01-26,1.077,1.101,1.103,1.075,666609092
2026-01-27,1.101,1.073,1.103,1.072,587182277
2026-01-28,1.075,1.124,1.129,1.071,1063310140
2026-01-29,1.122,1.129,1.14,1.111,973330273
2026-01-30,1.135,1.13,1.168,1.116,1036846651
2026-02-02,1.101,1.063,1.113,1.06,880150141
2026-02-03,1.066,1.069,1.077,1.054,527669800
2026-02-04,1.073,1.166,1.175,1.072,2143754676
2026-02-05,1.139,1.133,1.145,1.122,991279009
2026-02-06,1.115,1.128,1.137,1.108,638434747
2026-02-09,1.122,1.134,1.14,1.122,537946843
2026-02-10,1.131,1.144,1.15,1.118,480993622
2026-02-11,1.14,1.16,1.165,1.128,691204849
2026-02-12,1.158,1.164,1.177,1.151,506972599
2026-02-13,1.156,1.144,1.168,1.143,509694163
2026-02-24,1.148,1.18,1.187,1.148,541764110
2026-02-25,1.175,1.177,1.2,1.172,585971417
2026-02-26,1.176,1.169,1.193,1.163,471795800
2026-02-27,1.166,1.202,1.207,1.164,569530376
