日期,开盘,收盘,最高,最低,成交量
2026-01-05,4.783,4.844,4.848,4.78,1017132485
2026-01-06,4.85,4.919,4.92,4.848,1052301545
2026-01-07,4.92,4.901,4.927,4.876,933402554
2026-01-08,4.888,4.863,4.894,4.843,682719778
2026-01-09,4.857,4.885,4.903,4.844,1134855258
2026-01-12,4.893,4.913,4.929,4.861,1333075333
2026-01-13,4.922,4.896,4.965,4.876,1271783195
2026-01-14,4.896,4.866,4.949,4.841,2136722288
2026-01-15,4.849,4.875,4.894,4.843,5217148860
2026-01-16,4.905,4.859,4.919,4.838,5320166468
2026-01-19,4.737,4.738,4.769,4.718,2913439864
2026-01-20,4.735,4.724,4.751,4.688,2886765633
2026-01-21,4.709,4.73,4.764,4.709,4903973986
2026-01-22,4.741,4.727,4.76,4.703,4316344208
2026-01-23,4.732,4.704,4.742,4.687,6769378109
2026-01-26,4.712,4.712,4.76,4.694,5939852882
2026-01-27,4.712,4.71,4.742,4.679,4339135015
2026-01-28,4.725,4.725,4.743,4.704,8497782253
2026-01-29,4.724,4.768,4.779,4.704,3545664739
2026-01-30,4.736,4.711,4.758,4.642,1670274801
2026-02-02,4.68,4.6,4.719,4.591,2651134391
2026-02-03,4.64,4.664,4.668,4.585,1052944612
2026-02-04,4.652,4.707,4.709,4.643,1052505916
2026-02-05,4.68,4.679,4.695,4.645,933982876
2026-02-06,4.643,4.649,4.691,4.61,881673740
2026-02-09,4.695,4.727,4.73,4.686,701119504
2026-02-10,4.733,4.733,4.739,4.72,680461663
2026-02-11,4.727,4.723,4.732,4.714,372078690
2026-02-12,4.729,4.727,4.735,4.716,398012411
2026-02-13,4.714,4.671,4.714,4.667,1367357151
2026-02-24,4.725,4.716,4.736,4.705,624245587
2026-02-25,4.717,4.75,4.778,4.716,873403106
2026-02-26,4.751,4.735,4.754,4.712,766372132
2026-02-27,4.72,4.725,4.732,4.7,606245261
