日期,开盘,收盘,最高,最低,成交量
2022-03-01,8.56213312,8.63086584,8.66032272,8.52285728,2337610.0
2022-03-02,8.56213312,8.6897796,8.6897796,8.5424952,2627052.0
2022-03-03,8.70941752,8.65050376,8.77815024,8.61122792,2612230.0
2022-03-04,8.61122792,8.59159,8.67996064,8.52285728,2079350.0
2022-03-07,8.61122792,8.35593496,8.61122792,8.31665912,2693663.0
2022-03-08,8.35593496,8.15955576,8.43448664,8.13009888,2537250.0
2022-03-09,8.15955576,7.98281448,8.25774536,7.63915088,3411820.0
2022-03-10,8.100642,8.02209032,8.16937472,8.01227136,2634400.0
2022-03-11,8.0024524,8.08100408,8.12027992,7.84534904,2177200.0
2022-03-14,8.03190928,7.855168,8.09082304,7.855168,2015970.0
2022-03-15,7.84534904,7.38385792,7.855168,7.38385792,4590370.0
2022-03-16,7.44277168,7.49186648,7.57041816,7.07947016,3853290.0
2022-03-17,7.54096128,7.58023712,7.72752152,7.49186648,3032510.0
2022-03-18,7.5605992,7.7078836,7.74715944,7.5115044,2157940.0
2022-03-21,7.73734048,7.7078836,7.7569784,7.58023712,2452767.0
2022-03-22,7.8060732,7.9042628,8.02209032,7.7569784,4401290.0
2022-03-23,8.0515472,8.69959856,8.69959856,7.9533576,9599982.0
2022-03-24,8.69959856,8.87633984,9.2298224,8.5424952,27867730.0
2022-03-25,8.5424952,8.4443056,8.69959856,8.30684016,16792298.0
2022-03-28,8.31665912,8.4443056,8.4443056,8.03190928,8444684.0
2022-03-29,8.3952108,8.22828848,8.58177104,8.1988316,8414720.0
2022-03-30,8.30684016,8.346116,8.46394352,8.23810744,6393442.0
2022-03-31,8.23810744,8.40502976,8.50321936,8.18901264,6401527.0
2022-04-01,8.30684016,8.57195208,8.63086584,8.2479264,8455870.0
2022-04-06,8.47376248,8.7879692,8.837064,8.46394352,8279589.0
2022-04-07,8.7879692,8.67996064,8.79778816,8.59159,5884443.0
2022-04-08,8.62104688,8.46394352,8.67014168,8.31665912,5796820.0
2022-04-11,8.5424952,8.2479264,8.5424952,8.18901264,5565969.0
2022-04-12,8.23810744,8.33629704,8.43448664,7.94353864,7614050.0
2022-04-13,8.33629704,7.93371968,8.33629704,7.93371968,5225573.0
2022-04-14,7.9533576,7.98281448,8.2479264,7.9042628,5356235.0
2022-04-15,7.9533576,7.609694,8.02209032,7.59005608,5748630.0
2022-04-18,7.609694,7.7569784,7.78643528,7.34458208,4975650.0
2022-04-19,7.76679736,7.81589216,7.92390072,7.68824568,3708400.0
2022-04-20,7.82571112,7.55078024,7.88462488,7.43295272,7253900.0
2022-04-21,7.5115044,7.05983224,7.57041816,7.00091848,7707600.0
2022-04-22,7.01073744,6.95182368,7.118746,6.88309096,3514070.0
2022-04-25,6.90272888,6.50015152,6.90272888,6.382324,4701952.0
2022-04-26,6.49033256,6.382324,6.61797904,6.35286712,3344370.0
2022-04-27,6.27431544,6.56888424,6.5787032,6.17612584,3803070.0
2022-04-28,6.627798,6.5787032,6.71616864,6.49033256,3587600.0
2022-04-29,6.47069464,6.66707384,6.70634968,6.37250504,5712671.0
2022-05-05,6.54924632,6.5787032,6.70634968,6.44123776,4062026.0
2022-05-06,6.4805136,6.60816008,6.627798,6.31359128,2977240.0
2022-05-09,6.56888424,6.873272,6.873272,6.4805136,3848809.0
2022-05-10,6.79472032,6.84381512,6.89290992,6.70634968,2749470.0
2022-05-11,6.84381512,6.75544448,7.00091848,6.74562552,3836000.0
2022-05-12,6.7259876,6.80453928,6.873272,6.6768928,1626740.0
2022-05-13,6.83399616,6.88309096,6.91254784,6.76526344,2173250.0
2022-05-16,6.93218576,6.9223668,7.01073744,6.873272,2156520.0
2022-05-17,6.9223668,6.93218576,6.96164264,6.7750824,2084794.0
2022-05-18,6.96164264,7.03037536,7.22675456,6.93218576,3687138.0
2022-05-19,6.96164264,7.22675456,7.27584936,6.93218576,3766140.0
2022-05-20,7.27584936,7.38385792,7.4624096,7.19729768,3630984.0
2022-05-23,7.39367688,7.71770256,7.73734048,7.36422,3847820.0
2022-05-24,7.7569784,7.5605992,7.89444384,7.55078024,5961463.0
2022-05-25,7.5605992,7.74715944,7.7569784,7.55078024,2566320.0
2022-05-26,7.7569784,7.8060732,7.86498696,7.66860776,3403000.0
2022-05-27,7.77661632,7.77661632,7.91408176,7.7078836,2534820.0
2022-05-30,7.76679736,7.7569784,7.81589216,7.67842672,2522520.0
2022-05-31,7.83553008,7.82571112,7.855168,7.7569784,2336610.0
2022-06-01,7.8060732,7.81589216,7.9042628,7.7569784,2896953.0
2022-06-02,7.7569784,7.92390072,7.93371968,7.7569784,2465220.0
2022-06-06,7.97299552,8.13009888,8.20865056,7.97299552,3633615.0
2022-06-07,8.13009888,8.04172824,8.17919368,7.93371968,2885000.0
2022-06-08,8.0024524,7.9533576,8.1497368,7.9042628,2398670.0
2022-06-09,8.0515472,7.77661632,8.0515472,7.7078836,2572944.0
2022-06-10,7.86498696,7.83553008,7.87480592,7.71770256,1572712.0
2022-06-13,7.82571112,7.88462488,7.97299552,7.77661632,1954130.0
2022-06-14,7.8060732,7.89444384,7.89444384,7.67842672,1966370.0
2022-06-15,7.97299552,7.79625424,7.97299552,7.79625424,2165701.0
2022-06-16,7.79625424,7.7569784,7.83553008,7.66860776,1568380.0
2022-06-17,7.73734048,7.83553008,7.88462488,7.73734048,2073161.0
2022-06-20,7.855168,8.12027992,8.17919368,7.855168,4685410.0
2022-06-21,8.16937472,8.17919368,8.1988316,8.100642,3011913.0
2022-06-22,8.1497368,8.2479264,8.32647808,8.09082304,3318057.0
2022-06-23,8.20865056,8.66032272,8.75851232,8.17919368,8737510.0
2022-06-24,8.66032272,8.85670192,8.90579672,8.5424952,8143120.0
2022-06-27,8.84688296,8.84688296,8.89597776,8.63086584,4425960.0
2022-06-28,8.84688296,9.06290008,9.1316328,8.7879692,7264924.0
2022-06-29,9.06289788,8.76768948,9.25970348,8.7578492,6706480.0
2022-06-30,8.7578492,8.77752976,8.94481452,8.73816864,4517030.0
2022-07-01,8.77752976,8.7578492,8.89561312,8.7086478,2123958.0
2022-07-04,8.74800892,9.63363412,9.63363412,8.63976584,16173892.0
2022-07-05,10.40117596,10.59798156,10.59798156,10.34213428,11555797.0
2022-07-06,11.6607318,11.6607318,11.6607318,11.6607318,13090569.0
2022-07-07,12.82188484,12.83172512,12.83172512,10.88334968,90620091.0
2022-07-08,14.11096152,14.11096152,14.11096152,13.73703088,64522420.0
2022-07-11,14.3668088,15.51812156,15.51812156,12.70380148,140824485.0
2022-07-12,16.236462,17.0728858,17.0728858,15.744448,151094536.0
2022-07-13,15.9412536,15.37051736,17.20080944,15.37051736,149224037.0
2022-07-14,14.74073944,16.1380592,16.8268788,14.14048236,147036776.0
2022-07-15,16.47262872,17.75186512,17.75186512,14.74073944,167076760.0
2022-07-18,19.16886544,19.52311552,19.52311552,18.70637228,47724581.0
2022-07-19,20.85155332,17.57474008,21.42228956,17.57474008,181149695.0
2022-07-20,15.81332996,15.81332996,15.81332996,15.81332996,17054600.0
2022-07-21,14.76042,14.64233664,15.73460772,14.4652116,123991383.0
2022-07-22,14.15032264,13.74687116,14.35696852,13.68782948,95213314.0
2022-07-25,13.776392,13.96335732,14.06176012,13.49102388,67893708.0
2022-07-26,13.5795864,13.0875724,13.6287878,12.85140568,73530574.0
2022-07-27,13.0875724,12.96948904,13.19581548,12.86124596,50196941.0
2022-07-28,13.04821128,13.24501688,13.41230164,12.97932932,60322441.0
2022-07-29,13.09741268,13.5795864,14.4160102,13.04821128,81242694.0
2022-08-01,13.30405856,13.21549604,13.52054472,12.9399682,55623433.0
2022-08-02,12.96948904,11.89689852,12.96948904,11.89689852,58959290.0
2022-08-03,11.76897488,11.81817628,12.37907224,11.70009292,52256805.0
